,AreaUnderOilSeeds_GroundNut_210,MotorVehicles_Tractors_514,LivestockCensus_2012_Sheep_359,TotalNPK_315
0,72,6.785922757990272,77302,10.806111455714799
1,175,0.7481341625944025,124870,14.687375981045461
2,3307,156.8046139922474,152938,102.7127269001554
3,96711,1423.8611990518043,940038,2748.9016660448133
4,15279,233.17148029972614,343178,718.5001386333274
5,8608,553.9201877934273,445100,729.2488262910799
6,19535,223.00202770836074,432691,554.1730347669779
7,438,3.618216608265506,36791,11.416511007039853
8,64771,1131.991029652103,1061330,1627.4664128728584
9,5851,121.61711105495449,91312,519.6638967083728
10,0,0.0,265,0.0
11,1819,53.93123230850189,70,76.6102625306538
12,862,8.970447746503659,160685,26.58424103507825
13,63,1.474988850364701,1401,8.836337740436491
14,1361,14.601823937013704,341774,76.30142842157872
15,2387,35.63770637849279,218381,109.88647192501251
16,12179,67.66501619409723,128483,437.07744381766526
17,37419,853.9598411209171,788929,3309.6322234838317
18,24779,580.055688000489,309278,1267.3862705544348
19,26333,659.436766354196,733600,2319.0343337907734
20,36152,575.9861415344797,73982,1506.6082119306125
21,41174,1518.3276155721983,259047,1265.0918715290184
22,17789,232.26768639664684,254708,962.2454992650377
23,1950,49.3175190496974,4783,162.86052646941903
24,49762,721.1605418001672,756270,3705.6792825162624
25,299,4.970978203757723,88402,23.320848658344357
26,3817,45.7952709022881,100061,151.23838501942726
27,38840,469.6987626376943,463482,4335.013150746944
28,35960,501.35590148435693,647549,2294.8797091409724
29,22274,384.4794720577926,547061,1733.114796150932
