,Sowing Seeds,Cattle,Area (Maize),Total NPK
0,4.45,2567.461578139793,21.22288531226535,438.1802095915902
1,134.73,25037.139271434917,2343.704505405005,3036.080249518732
2,260.15,7729.614276850919,59.09550155678125,222.22525799308983
3,5004.0,83821.5930925161,28010.714285714286,10902.40657123643
4,6124.6,85657.63209061667,44727.948218061974,25702.835480049405
5,51.5,2278.8298206912154,6.367780983087279,220.78290627297926
6,3538.15,71206.94530941734,17163.562373953264,8196.896748542242
7,3814.02,104722.00036268626,8073.605763295988,10428.246255833677
8,1639.85,37944.09375585409,1742.6867505420753,2746.313634885739
9,2923.79,40572.445630263464,3104.5656180395986,8156.2903695954965
10,0.0,0.0,0.0,0.0
11,0.0,94.49900772836865,0.0029991711006476423,2.304862990847713
12,8925.33,151008.14025035864,19685.389888719543,17039.273893533446
13,246.41,7599.582730293919,296.324255372206,3519.022414363608
14,794.03,8774.134623334794,117.03950094713915,1448.8303553468627
15,1573.43,61547.7274444302,4175.553764358407,6945.331414932335
16,2054.6,80396.92668339919,11811.782208029952,7289.68477009352
17,11883.58,159047.08619222807,35188.81871662207,48288.81512653903
18,2682.76,48619.507079860894,7725.894758067255,10420.071652709008
19,5678.15,75578.0519987835,11982.562509335967,22940.52125376528
20,2471.35,33424.645600479584,5329.839091834696,6447.725407503973
21,4111.0,34261.98176791555,8205.054734410285,5591.244159385049
22,11325.6,95150.6402686615,57067.18231433104,21731.170722300652
23,1469.2,22563.77107559554,306.42612942952377,1025.6168265608799
24,5718.01,46893.695806229356,13593.266408442034,16808.309215921032
25,24.55,2371.831677930172,13.976997082963418,249.38118239631837
26,165.0,6221.617909951072,34.63782018995539,710.1016144409267
27,0.0,1253.317143503848,3.8761928474422818,368.61746944318696
28,14.35,188.53747925080708,1.3649810261973536,61.54751946394106
29,5292.0,38936.40017227125,7208.3954882538055,10997.550403485664
