,Rice_Production_223,AreaUnderCereals_Paddy_190,TotalNPK_315,NetAreaIrrigated_Canals_GrossIrrigatedArea_172,NetAreaIrrigated_Canals_NetAreaIrrigated_173,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188
0,3376,782,513.8229897815938,0.0,0.0,248.0722405406288
1,2354,736,167.8353546571894,0.0,0.0,206.83339256626684
2,12128,4468,257.90889272154965,307.8200622712499,272.5094630670014,1226.6204925917705
3,4566,1297,183.0329567212632,10.869558320505288,9.28324549193788,548.0277264531811
4,489505,98259,21197.529554104807,20492.5336392248,18037.386429318296,44705.5481340128
5,864,395,108.44595282538606,0.0,0.0,122.28637366366875
6,2698,1333,209.64089284931387,0.0,0.0,432.1232791880398
7,384974,109617,17722.015759774844,15798.574878853848,13305.677786605493,51282.67808342272
8,26042,10379,1069.5624166969912,114.92440877741866,114.92440877741866,4968.693309274599
9,110533,33036,14694.29764514366,1654.2804475030218,1344.644185732168,13943.15904928136
10,132588,48689,8898.49778669998,0.0,0.0,38780.84824632982
11,138156,49608,2921.382122601437,0.0,0.0,15940.729679068056
12,143705,42818,7332.607212948023,4842.471762323319,3867.912533293168,10475.413390787971
13,86303,28336,16946.7212447309,507.4042114450407,507.4042114450407,643.567331808351
14,246543,58487,18424.66510023632,31410.58860841504,27586.79669025773,46050.1013173564
15,354227,93521,17937.675249115855,29378.460702856617,26552.468391703296,43455.77838957204
16,45856,13881,2260.3612567613463,1997.983482849167,1997.983482849167,7349.331544113384
17,177552,61230,14865.464724108304,5978.247166843968,4947.776905039559,42872.50174829322
18,170,51,7.826782403162378,12.617706189593225,12.617706189593225,44.38034449266799
19,85,32,7.747127746117581,0.185064387275789,0.185064387275789,23.18721582391319
20,33989,23909,2417.9859531263382,1724.1758000209345,1020.662913094366,3456.3725266673646
21,7258,1706,293.0561982496366,412.0536313275496,384.4096703586406,1195.9537849959934
22,125422,44968,6591.662843892051,520.6319447476468,520.6319447476468,12334.33257492331
23,152981,66147,6513.6120783838405,0.0,0.0,17540.737148925404
24,412231,93665,33297.64100335596,30528.88987029386,20953.14180239397,70434.00493307729
25,2036,1548,181.92048991719963,0.0,0.0,333.77666008370625
26,7888,4199,383.0983882573032,158.0593898402648,148.02060728162326,763.0397035544684
27,224659,49358,30981.3812449072,33642.91407876867,30897.3078602686,47285.85476988079
28,492342,115246,41912.07306765653,44097.14229262788,39866.07320271689,68847.1983208947
29,243505,50753,14075.849457565631,8024.259948821607,7221.642581176537,25784.80058345881
